# Event 'cycles'
#
# Baseline  Delta Abs  Shared Object             Symbol                                         
# ........  .........  ........................  ...............................................
#
     0.00%     +0.00%  [kernel.kallsyms]         [k] __tlb_remove_page_size
               +0.00%  [kernel.kallsyms]         [k] perf_mmap_fault
     0.00%     +0.00%  [kernel.kallsyms]         [k] truncate_inode_pages_final
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_fc_track_range
     0.00%     +0.00%  [kernel.kallsyms]         [k] ext4_superblock_csum_set
     0.02%     -0.00%  [kernel.kallsyms]         [k] folio_wait_stable
     0.15%     -0.00%  [kernel.kallsyms]         [k] __block_write_begin_int
     0.01%     +0.00%  [kernel.kallsyms]         [k] put_cpu_partial
     0.00%     +0.00%  [kernel.kallsyms]         [k] __pagevec_release
     0.00%     +0.00%  [kernel.kallsyms]         [k] ext4_empty_dir
     0.02%     +0.00%  [kernel.kallsyms]         [k] generic_write_check_limits
               +0.00%  [kernel.kallsyms]         [k] xa_find
     0.01%     +0.00%  [kernel.kallsyms]         [k] alloc_fd
               +0.00%  [kernel.kallsyms]         [k] sdhci_get_cd
               +0.00%  [kernel.kallsyms]         [k] __ksize
     0.00%     +0.00%  [kernel.kallsyms]         [k] mmc_blk_mq_post_req
     0.05%     -0.00%  [kernel.kallsyms]         [k] folio_mark_accessed
     0.00%     -0.00%  [kernel.kallsyms]         [k] submit_bio
     0.00%     +0.00%  [kernel.kallsyms]         [k] __vma_link_file
     0.00%     +0.00%  [kernel.kallsyms]         [k] jbd2_journal_get_create_access
     0.01%     -0.00%  [kernel.kallsyms]         [k] __d_rehash
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_init_dot_dotdot
     0.01%     +0.00%  [kernel.kallsyms]         [k] __se_sys_write
     0.00%     -0.00%  [kernel.kallsyms]         [k] shrink_slab.constprop.0
     0.00%     +0.00%  [kernel.kallsyms]         [k] kill_fasync
     0.01%     -0.00%  [kernel.kallsyms]         [k] vfs_utimes
               +0.00%  [kernel.kallsyms]         [k] __wait_on_buffer
     0.01%     +0.00%  [kernel.kallsyms]         [k] __es_find_extent_range
               +0.00%  [kernel.kallsyms]         [k] bio_alloc_clone
               +0.00%  [kernel.kallsyms]         [k] sdhci_pre_req
     0.00%     -0.00%  [kernel.kallsyms]         [k] ext4_put_io_end
     0.00%     +0.00%  [kernel.kallsyms]         [k] __folio_put
               +0.00%  [kernel.kallsyms]         [k] ext4_fc_del
               +0.00%  [kernel.kallsyms]         [k] v7_flush_icache_all
     0.00%     -0.00%  [kernel.kallsyms]         [k] __remove_shared_vm_struct.constprop.0
     0.00%     +0.00%  [kernel.kallsyms]         [k] flush_tlb_page
     0.03%     +0.00%  [kernel.kallsyms]         [k] __check_block_validity.constprop.0
     0.00%     +0.00%  [kernel.kallsyms]         [k] __se_sys_getdents64
     0.01%     -0.00%  [kernel.kallsyms]         [k] schedule_hrtimeout_range
     0.01%     -0.00%  [kernel.kallsyms]         [k] blk_mq_free_request
     0.00%     +0.00%  [kernel.kallsyms]         [k] errseq_sample
               +0.00%  [kernel.kallsyms]         [k] ext4_read_bh_lock
     0.01%     -0.00%  [kernel.kallsyms]         [k] arch_sync_dma_for_device
               +0.00%  [kernel.kallsyms]         [k] prepend
     0.01%     +0.00%  [kernel.kallsyms]         [k] ext4_htree_store_dirent
     0.00%     +0.00%  [kernel.kallsyms]         [k] blk_mq_queue_tag_busy_iter
     0.00%     -0.00%  [kernel.kallsyms]         [k] rcu_gp_slow
               +0.00%  [kernel.kallsyms]         [k] blk_mq_put_rq_ref
     0.01%     +0.00%  [kernel.kallsyms]         [k] inode_owner_or_capable
     0.00%     -0.00%  [kernel.kallsyms]         [k] shmem_write_begin
     0.02%     -0.00%  [kernel.kallsyms]         [k] locks_remove_posix
     0.10%     +0.00%  [kernel.kallsyms]         [k] _copy_to_iter
     0.00%     +0.00%  [kernel.kallsyms]         [k] refresh_cpu_vm_stats.constprop.0
     0.00%     -0.00%  [kernel.kallsyms]         [k] __se_sys_ioctl
               +0.00%  [kernel.kallsyms]         [k] vm_unmapped_area
     0.00%     +0.00%  [kernel.kallsyms]         [k] lru_add_drain
     0.01%     +0.00%  [kernel.kallsyms]         [k] deadline_remove_request
               +0.00%  [kernel.kallsyms]         [k] generic_set_encrypted_ci_d_ops
     0.00%     +0.00%  [kernel.kallsyms]         [k] bcm2835_dma_slave_config
     0.00%     -0.00%  [kernel.kallsyms]         [k] get_unused_fd_flags
     0.00%     +0.00%  [kernel.kallsyms]         [k] dev_pm_opp_set_rate
     0.00%     -0.00%  wpa_supplicant            [.] 0x0001b210
               +0.00%  [kernel.kallsyms]         [k] bitmap_clear_ll
     0.02%     +0.00%  [kernel.kallsyms]         [k] __writeback_single_inode
     0.00%     +0.00%  [kernel.kallsyms]         [k] kick_process
     0.00%     +0.00%  [kernel.kallsyms]         [k] __blk_mq_delay_run_hw_queue
     0.00%     -0.00%  [kernel.kallsyms]         [k] mmc_io_rw_extended
     0.01%     -0.00%  [kernel.kallsyms]         [k] v7_dma_map_area
     0.01%     -0.00%  [kernel.kallsyms]         [k] bvec_split_segs
               +0.00%  [kernel.kallsyms]         [k] lockref_put_or_lock
     0.00%     +0.00%  [kernel.kallsyms]         [k] sbitmap_get_shallow
     0.00%     -0.00%  [kernel.kallsyms]         [k] __put_user_8
               +0.00%  [kernel.kallsyms]         [k] dma_map_sg_attrs
               +0.00%  [kernel.kallsyms]         [k] d_path
     0.00%     +0.00%  [kernel.kallsyms]         [k] iomap_bmap
     0.01%     -0.00%  [kernel.kallsyms]         [k] mmc_start_request
     0.01%     +0.00%  [kernel.kallsyms]         [k] __bio_add_page
     0.00%     +0.00%  [kernel.kallsyms]         [k] ext4_datasem_ensure_credits
     0.00%     +0.00%  [kernel.kallsyms]         [k] wake_up_process
               +0.00%  [kernel.kallsyms]         [k] group_balance_cpu
     0.00%     -0.00%  [kernel.kallsyms]         [k] ext4_mb_pa_free
               +0.00%  [kernel.kallsyms]         [k] __split_vma
     0.00%     +0.00%  [kernel.kallsyms]         [k] finish_fault
     0.03%     +0.00%  [kernel.kallsyms]         [k] ext4_writepages
     0.00%     -0.00%  [kernel.kallsyms]         [k] bcm2835_dma_desc_free
     0.00%     +0.00%  [kernel.kallsyms]         [k] kthread_should_stop
     0.00%     -0.00%  [kernel.kallsyms]         [k] setup_object_debug
     0.00%     +0.00%  [kernel.kallsyms]         [k] bvec_free
     0.00%     -0.00%  [kernel.kallsyms]         [k] folio_wait_writeback
     0.01%     -0.00%  [kernel.kallsyms]         [k] submit_bh_wbc.constprop.0
     0.01%     -0.00%  [kernel.kallsyms]         [k] filename_create
               +0.00%  [kernel.kallsyms]         [k] jbd2_journal_bmap
               +0.00%  [kernel.kallsyms]         [k] setup_return
     0.00%     +0.00%  [kernel.kallsyms]         [k] clk_core_get_boundaries
     0.01%     -0.00%  [kernel.kallsyms]         [k] dma_pool_free
               +0.00%  [kernel.kallsyms]         [k] udp_queue_rcv_one_skb
     0.00%     +0.00%  [kernel.kallsyms]         [k] finish_swait
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_unlink
     0.01%     +0.00%  [kernel.kallsyms]         [k] blk_mq_sched_try_merge
     0.08%     +0.00%  [kernel.kallsyms]         [k] ext4_map_blocks
               +0.00%  [kernel.kallsyms]         [k] __jbd2_journal_insert_checkpoint
     0.00%     +0.00%  [kernel.kallsyms]         [k] __msecs_to_jiffies
               +0.00%  [kernel.kallsyms]         [k] copy_strings
     0.00%     +0.00%  [kernel.kallsyms]         [k] udp_v4_early_demux
     0.00%     +0.00%  [kernel.kallsyms]         [k] wb_writeback
     0.00%     -0.00%  [kernel.kallsyms]         [k] user_path_at_empty
               +0.00%  [kernel.kallsyms]         [k] __alloc_pages_bulk
               +0.00%  [kernel.kallsyms]         [k] cgroup_exit
     0.04%     -0.00%  [kernel.kallsyms]         [k] ksys_write
     0.02%     +0.00%  [kernel.kallsyms]         [k] ext4_discard_preallocations
               +0.00%  [kernel.kallsyms]         [k] page_add_new_anon_rmap
     0.00%     +0.00%  [kernel.kallsyms]         [k] _opp_compare_key
     0.00%     -0.00%  [kernel.kallsyms]         [k] kernel_clone
     0.00%     -0.00%  [kernel.kallsyms]         [k] anon_vma_clone
               +0.00%  [kernel.kallsyms]         [k] free_pgd_range
               +0.00%  [kernel.kallsyms]         [k] lockref_mark_dead
     0.01%     -0.00%  [kernel.kallsyms]         [k] locks_remove_file
     0.00%     +0.00%  [kernel.kallsyms]         [k] v7_dma_unmap_area
     0.00%     +0.00%  [kernel.kallsyms]         [k] blk_try_merge
     0.01%     -0.00%  [kernel.kallsyms]         [k] iomap_iter
               +0.00%  [kernel.kallsyms]         [k] jbd2_journal_wait_updates
     0.00%     +0.00%  [kernel.kallsyms]         [k] lock_hrtimer_base
               +0.00%  [kernel.kallsyms]         [k] __unfreeze_partials
               +0.00%  [kernel.kallsyms]         [k] clk_set_rate
     0.00%     +0.00%  [kernel.kallsyms]         [k] bcm2835_finish_request
     0.00%     -0.00%  [kernel.kallsyms]         [k] bit_waitqueue
     0.00%     +0.00%  [kernel.kallsyms]         [k] inode_cgwb_move_to_attached
     0.01%     -0.00%  [kernel.kallsyms]         [k] d_flags_for_inode
     0.02%     -0.00%  [kernel.kallsyms]         [k] ext4_mb_free_metadata
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_last_io_end_vec
     0.00%     +0.00%  [kernel.kallsyms]         [k] inode_add_bytes
     0.01%     -0.00%  [kernel.kallsyms]         [k] update_io_ticks
     0.01%     +0.00%  [kernel.kallsyms]         [k] bcm2835_dma_create_cb_chain
               +0.00%  [kernel.kallsyms]         [k] tlb_finish_mmu
     0.00%     +0.00%  [kernel.kallsyms]         [k] kcompactd
               +0.00%  [kernel.kallsyms]         [k] __se_sys_fstatat64
     0.00%     -0.00%  [kernel.kallsyms]         [k] try_module_get
     0.09%     -0.00%  [kernel.kallsyms]         [k] ext4_da_write_begin
               +0.00%  [kernel.kallsyms]         [k] io_schedule
               +0.00%  [kernel.kallsyms]         [k] first_packet_length
     0.01%     +0.00%  [kernel.kallsyms]         [k] walk_component
     0.00%     +0.00%  [kernel.kallsyms]         [k] __mutex_init
               +0.00%  [kernel.kallsyms]         [k] raspberrypi_clock_property
     0.01%     -0.00%  [kernel.kallsyms]         [k] d_walk
     0.01%     +0.00%  [kernel.kallsyms]         [k] dd_finish_request
     0.01%     -0.00%  [kernel.kallsyms]         [k] __blk_flush_plug
     0.00%     -0.00%  [kernel.kallsyms]         [k] balance_dirty_pages_ratelimited
               +0.00%  [kernel.kallsyms]         [k] iovec_from_user.part.0
     0.01%     -0.00%  [kernel.kallsyms]         [k] page_cache_ra_unbounded
     0.00%     +0.00%  [kernel.kallsyms]         [k] __skb_clone
               +0.00%  [kernel.kallsyms]         [k] rcu_free_slab
     0.00%     -0.00%  [kernel.kallsyms]         [k] put_pid
     0.00%     +0.00%  [kernel.kallsyms]         [k] rpi_firmware_property_list
     0.00%     -0.00%  [kernel.kallsyms]         [k] locks_free_lock_context
     0.00%     +0.00%  [kernel.kallsyms]         [k] sbitmap_any_bit_set
               +0.00%  [kernel.kallsyms]         [k] do_wait
     0.01%     -0.00%  perf                      [.] 0x0001351e
     0.00%     -0.00%  [kernel.kallsyms]         [k] do_wp_page
     0.01%     -0.00%  [kernel.kallsyms]         [k] memchr
               +0.00%  [kernel.kallsyms]         [k] __ext4_forget
     0.00%     +0.00%  [kernel.kallsyms]         [k] can_stat_update
     0.00%     +0.00%  [kernel.kallsyms]         [k] __mmc_send_status
     0.04%     +0.00%  [kernel.kallsyms]         [k] ext4_dirty_inode
               +0.00%  [kernel.kallsyms]         [k] unix_poll
     0.01%     -0.00%  [kernel.kallsyms]         [k] jbd2_journal_blocks_per_page
     0.03%     +0.00%  [kernel.kallsyms]         [k] errseq_check
     0.00%     -0.00%  [kernel.kallsyms]         [k] mmc_wait_for_cmd
               +0.00%  [kernel.kallsyms]         [k] alloc_bprm
     0.00%     -0.00%  [kernel.kallsyms]         [k] ext4_free_group_clusters_set
               +0.00%  [kernel.kallsyms]         [k] ext4_writepage_trans_blocks
               +0.00%  [kernel.kallsyms]         [k] seq_read_iter
     0.00%     +0.00%  [kernel.kallsyms]         [k] lock_timer_base
     0.01%     +0.00%  [kernel.kallsyms]         [k] ext4_block_bitmap
     0.02%     +0.00%  [kernel.kallsyms]         [k] do_page_fault
               +0.00%  [kernel.kallsyms]         [k] discard_slab
               +0.00%  libtinfo.so.6.1           [.] 0x00006864
     0.00%     +0.00%  [kernel.kallsyms]         [k] mnt_drop_write_file
               +0.00%  [kernel.kallsyms]         [k] inc_nlink
     0.00%     +0.00%  [kernel.kallsyms]         [k] del_timer_sync
               +0.00%  [kernel.kallsyms]         [k] jbd2_journal_set_features
               +0.00%  [kernel.kallsyms]         [k] ip6_output
     0.01%     +0.00%  [kernel.kallsyms]         [k] may_delete
     0.00%     +0.00%  [kernel.kallsyms]         [k] ext4_htree_fill_tree
     0.01%     -0.00%  [kernel.kallsyms]         [k] tasklet_action_common.constprop.0
     0.00%     +0.00%  [kernel.kallsyms]         [k] ext4_mb_normalize_request.constprop.0
     0.00%     +0.00%  [kernel.kallsyms]         [k] kern_select
     0.00%     +0.00%  [kernel.kallsyms]         [k] blk_queue_exit
               +0.00%  systemd                   [.] 0x000162b4
               +0.00%  [kernel.kallsyms]         [k] consume_skb
     0.01%     -0.00%  [kernel.kallsyms]         [k] __put_user_1
     0.01%     -0.00%  [kernel.kallsyms]         [k] gpiod_set_raw_value_commit
     0.00%     +0.00%  [kernel.kallsyms]         [k] mode_strip_sgid
     0.00%     -0.00%  [kernel.kallsyms]         [k] elv_rb_latter_request
     0.00%     +0.00%  [kernel.kallsyms]         [k] inode_init_owner
     0.01%     -0.00%  [kernel.kallsyms]         [k] bio_attempt_back_merge
               +0.00%  [kernel.kallsyms]         [k] wb_update_bandwidth
     0.06%     +0.00%  [kernel.kallsyms]         [k] xas_find
               +0.00%  [kernel.kallsyms]         [k] mix_interrupt_randomness
     0.00%     -0.00%  [kernel.kallsyms]         [k] getname
     0.00%     +0.00%  [kernel.kallsyms]         [k] __inode_add_lru
               +0.00%  [kernel.kallsyms]         [k] flush_tlb_mm
     0.00%     +0.00%  [kernel.kallsyms]         [k] elv_bio_merge_ok
               +0.00%  [kernel.kallsyms]         [k] dentry_free
     0.00%     -0.00%  [kernel.kallsyms]         [k] ___bpf_prog_run
     0.00%     +0.00%  thd                       [.] 0x000033f4
               +0.00%  [kernel.kallsyms]         [k] smpboot_thread_fn
               +0.00%  [kernel.kallsyms]         [k] __se_sys_fstat64
     0.01%     +0.00%  [kernel.kallsyms]         [k] path_parentat
               +0.00%  [kernel.kallsyms]         [k] __do_sys_fstatat64
     0.00%     +0.00%  [kernel.kallsyms]         [k] gen_pool_alloc_algo_owner
     0.00%     +0.00%  [kernel.kallsyms]         [k] dentry_needs_remove_privs.part.0
     0.00%     +0.00%  [kernel.kallsyms]         [k] rcu_report_qs_rdp
               +0.00%  [kernel.kallsyms]         [k] wait_for_completion_interruptible
     0.00%     +0.00%  [kernel.kallsyms]         [k] hrtimer_cancel
     0.00%     -0.00%  [kernel.kallsyms]         [k] try_to_wake_up
     0.00%     -0.00%  [kernel.kallsyms]         [k] done_path_create
     0.00%     +0.00%  [kernel.kallsyms]         [k] dd_merged_requests
     0.00%     -0.00%  [kernel.kallsyms]         [k] __alloc_skb
     0.01%     +0.00%  [kernel.kallsyms]         [k] ext4_bread
     0.00%     -0.00%  [kernel.kallsyms]         [k] put_cred_rcu
     0.04%     +0.00%  [kernel.kallsyms]         [k] folio_unlock
     0.00%     +0.00%  [kernel.kallsyms]         [k] rpm_drop_usage_count
               +0.00%  [kernel.kallsyms]         [k] _prb_read_valid
     0.01%     +0.00%  [kernel.kallsyms]         [k] __mnt_drop_write
     0.00%     +0.00%  [kernel.kallsyms]         [k] mmc_retune_hold
     0.00%     -0.00%  [kernel.kallsyms]         [k] memblock_overlaps_region
     0.00%     -0.00%  [kernel.kallsyms]         [k] ext4_inode_attach_jinode.part.0
     0.00%     -0.00%  [kernel.kallsyms]         [k] dnotify_flush
               +0.00%  [kernel.kallsyms]         [k] netif_rx_internal
               +0.00%  [kernel.kallsyms]         [k] exit_signals
     0.01%     -0.00%  [kernel.kallsyms]         [k] inode_sb_list_add
               +0.00%  [kernel.kallsyms]         [k] vfs_rmdir
     0.00%     +0.00%  [kernel.kallsyms]         [k] dbs_work_handler
     0.01%     -0.00%  [kernel.kallsyms]         [k] __ext4_journal_ensure_credits
     0.00%     +0.00%  [kernel.kallsyms]         [k] copy_from_kernel_nofault
               +0.00%  [kernel.kallsyms]         [k] prepare_creds
     0.00%     +0.00%  systemd-journald          [.] 0x00003b6c
               +0.00%  [kernel.kallsyms]         [k] ip_local_deliver
     0.01%     +0.00%  [kernel.kallsyms]         [k] mmc_set_data_timeout
     0.00%     -0.00%  [kernel.kallsyms]         [k] _find_opp_table_unlocked
     0.00%     -0.00%  [kernel.kallsyms]         [k] mmc_put_card
     0.00%     +0.00%  [kernel.kallsyms]         [k] ext4_es_delayed_clu
               +0.00%  [kernel.kallsyms]         [k] __se_sys_access
               +0.00%  [kernel.kallsyms]         [k] elv_merge_requests
               +0.00%  [kernel.kallsyms]         [k] exit_mmap
     0.01%     +0.00%  [kernel.kallsyms]         [k] fsnotify_grab_connector
               +0.00%  [kernel.kallsyms]         [k] __radix_tree_preload.constprop.0
               +0.00%  [kernel.kallsyms]         [k] memory_open
     0.00%     +0.00%  [kernel.kallsyms]         [k] proc_cgroup_show
               +0.00%  [kernel.kallsyms]         [k] v6_copy_user_highpage_nonaliasing
               +0.00%  [kernel.kallsyms]         [k] __jbd2_journal_refile_buffer
               +0.00%  [kernel.kallsyms]         [k] bcm2835_dma_issue_pending
     0.00%     +0.00%  [kernel.kallsyms]         [k] __alloc_from_pool
     0.06%     -0.00%  [kernel.kallsyms]         [k] filemap_read
               +0.00%  [kernel.kallsyms]         [k] __do_sys_stat64
     0.01%     +0.00%  [kernel.kallsyms]         [k] sg_next
               +0.00%  [kernel.kallsyms]         [k] key_put
               +0.00%  [kernel.kallsyms]         [k] udpv6_recvmsg
     0.00%     -0.00%  [kernel.kallsyms]         [k] raspberrypi_fw_set_rate
               +0.00%  [kernel.kallsyms]         [k] sched_cgroup_fork
     0.00%     +0.00%  [kernel.kallsyms]         [k] generic_update_time
               +0.00%  [kernel.kallsyms]         [k] vmstat_update
               +0.00%  [kernel.kallsyms]         [k] skb_queue_tail
               +0.00%  [kernel.kallsyms]         [k] _opp_table_find_key
     0.01%     -0.00%  [kernel.kallsyms]         [k] dma_pool_alloc
               +0.00%  [kernel.kallsyms]         [k] do_sigaction
               +0.00%  [kernel.kallsyms]         [k] sys_mmap2
     0.01%     +0.00%  [kernel.kallsyms]         [k] generic_fillattr
     0.01%     +0.00%  [kernel.kallsyms]         [k] do_unlinkat
               +0.00%  [kernel.kallsyms]         [k] atomic_notifier_call_chain
     0.01%     +0.00%  [kernel.kallsyms]         [k] inode_init_once
     0.01%     -0.00%  [kernel.kallsyms]         [k] inode_set_flags
               +0.00%  [kernel.kallsyms]         [k] blk_mq_find_and_get_req
               +0.00%  [kernel.kallsyms]         [k] vma_wants_writenotify
               +0.00%  [kernel.kallsyms]         [k] futex_exit_release
               +0.00%  [kernel.kallsyms]         [k] futex_cleanup
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_ext_drop_refs
     0.00%     -0.00%  [kernel.kallsyms]         [k] file_modified
               +0.00%  [kernel.kallsyms]         [k] cgroup_leave_frozen
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_write_inode
     0.01%     +0.00%  [kernel.kallsyms]         [k] fput
     0.01%     -0.00%  [kernel.kallsyms]         [k] bcm2835_transfer_complete
               +0.00%  [kernel.kallsyms]         [k] udp_rmem_release
               +0.00%  [kernel.kallsyms]         [k] ext4_ext_check_inode
     0.00%     -0.00%  [kernel.kallsyms]         [k] ext4_init_pending_tree
               +0.00%  [kernel.kallsyms]         [k] fprop_new_period
               +0.00%  [kernel.kallsyms]         [k] dd_prepare_request
     0.04%     -0.00%  [kernel.kallsyms]         [k] fsnotify
     0.00%     +0.00%  [kernel.kallsyms]         [k] prepare_to_swait_event
     0.00%     +0.00%  [kernel.kallsyms]         [k] mmc_blk_mq_complete
     0.00%     +0.00%  [kernel.kallsyms]         [k] __wb_update_bandwidth.constprop.0
     0.00%     +0.00%  [kernel.kallsyms]         [k] out_of_line_wait_on_bit
               +0.00%  [kernel.kallsyms]         [k] insert_vm_struct
               +0.00%  [kernel.kallsyms]         [k] do_open_execat
     0.01%     +0.00%  [kernel.kallsyms]         [k] d_lookup
               +0.00%  [kernel.kallsyms]         [k] unix_sock_destructor
     0.00%     +0.00%  [kernel.kallsyms]         [k] __se_sys_poll
     0.00%     +0.00%  [kernel.kallsyms]         [k] shrink_inactive_list
     0.00%     -0.00%  [kernel.kallsyms]         [k] filemap_fault
               +0.00%  [kernel.kallsyms]         [k] _install_special_mapping
               +0.00%  [kernel.kallsyms]         [k] prepare_exec_creds
               +0.00%  [kernel.kallsyms]         [k] vma_link
               +0.00%  [kernel.kallsyms]         [k] __se_sys_llseek
     0.00%     -0.00%  [kernel.kallsyms]         [k] mmc_gpio_get_cd
               +0.00%  [kernel.kallsyms]         [k] vm_area_free
               +0.00%  [kernel.kallsyms]         [k] vmstat_shepherd
     0.03%     -0.00%  [kernel.kallsyms]         [k] bcm2835_send_command
     0.01%     +0.00%  [kernel.kallsyms]         [k] sbitmap_get
               +0.00%  [kernel.kallsyms]         [k] sdhci_request
               +0.00%  [kernel.kallsyms]         [k] neigh_periodic_work
     0.00%     +0.00%  [kernel.kallsyms]         [k] cap_inode_need_killpriv
     0.02%     -0.00%  [kernel.kallsyms]         [k] __bio_split_to_limits
     0.00%     -0.00%  [kernel.kallsyms]         [k] ret_to_user
               +0.00%  [kernel.kallsyms]         [k] ptep_clear_flush
               +0.00%  [kernel.kallsyms]         [k] __put_cred
     0.00%     +0.00%  [kernel.kallsyms]         [k] pipe_poll
               +0.00%  [kernel.kallsyms]         [k] elv_latter_request
               +0.00%  [kernel.kallsyms]         [k] folio_mark_dirty
               +0.00%  [kernel.kallsyms]         [k] vm_stat_account
     0.00%     +0.00%  [kernel.kallsyms]         [k] __local_bh_enable_ip
               +0.00%  [kernel.kallsyms]         [k] wait_for_unix_gc
               +0.00%  [kernel.kallsyms]         [k] crng_make_state
     0.01%     -0.00%  [kernel.kallsyms]         [k] ext4_mb_use_best_found
     0.00%     +0.00%  [kernel.kallsyms]         [k] mlock_page_drain_local
     0.01%     -0.00%  [kernel.kallsyms]         [k] gpiod_set_value
               +0.00%  [kernel.kallsyms]         [k] uprobe_munmap
               +0.00%  [kernel.kallsyms]         [k] unmap_region
     0.00%     -0.00%  [kernel.kallsyms]         [k] udp_poll
               +0.00%  [kernel.kallsyms]         [k] __build_skb_around
               +0.00%  [kernel.kallsyms]         [k] raw_local_deliver
               +0.00%  [kernel.kallsyms]         [k] __netif_receive_skb_one_core
     0.00%     +0.00%  [kernel.kallsyms]         [k] perf_event_mmap
     0.00%     +0.00%  [kernel.kallsyms]         [k] unlink_anon_vmas
               +0.00%  [kernel.kallsyms]         [k] __dabt_usr
               +0.00%  [kernel.kallsyms]         [k] __se_sys_epoll_ctl
               +0.00%  [kernel.kallsyms]         [k] __unix_insert_socket
               +0.00%  [kernel.kallsyms]         [k] cpus_read_unlock
               +0.00%  [kernel.kallsyms]         [k] special_mapping_fault
               +0.00%  [kernel.kallsyms]         [k] __skb_try_recv_datagram
     0.00%     -0.00%  [kernel.kallsyms]         [k] mmap_region
               +0.00%  [kernel.kallsyms]         [k] __put_task_struct
               +0.00%  [kernel.kallsyms]         [k] alloc_pipe_info
     0.00%     +0.00%  [kernel.kallsyms]         [k] mod_timer
               +0.00%  [kernel.kallsyms]         [k] ip6_rcv_core.constprop.0
               +0.00%  [kernel.kallsyms]         [k] rpi_firmware_property
               +0.00%  [kernel.kallsyms]         [k] bprm_execve
               +0.00%  [kernel.kallsyms]         [k] proc_sys_permission
               +0.00%  [kernel.kallsyms]         [k] do_softirq
               +0.00%  [kernel.kallsyms]         [k] elf_map
               +0.00%  [kernel.kallsyms]         [k] shmem_write_end
               +0.00%  [kernel.kallsyms]         [k] thread_group_cputime
     0.00%     -0.00%  [kernel.kallsyms]         [k] inode_wait_for_writeback
     0.03%     +0.00%  [kernel.kallsyms]         [k] pagecache_get_page
     0.00%     +0.00%  [kernel.kallsyms]         [k] ext4_bmap
     0.00%     +0.00%  [kernel.kallsyms]         [k] packet_rcv
               +0.00%  [kernel.kallsyms]         [k] check_lifetime
               +0.00%  [kernel.kallsyms]         [k] sch_direct_xmit
     0.00%     +0.00%  [kernel.kallsyms]         [k] ext4_set_iomap.constprop.0
               +0.00%  [kernel.kallsyms]         [k] _read_freq
               +0.00%  [kernel.kallsyms]         [k] vm_mmap_pgoff
     0.00%     -0.00%  [kernel.kallsyms]         [k] arch_sync_dma_for_cpu
               +0.00%  [kernel.kallsyms]         [k] sysctl_head_grab
     0.01%     +0.00%  [kernel.kallsyms]         [k] bio_endio
               +0.00%  [kernel.kallsyms]         [k] uprobe_clear_state
               +0.00%  [kernel.kallsyms]         [k] perf_iterate_sb
               +0.00%  [kernel.kallsyms]         [k] prepend_name
     0.00%     -0.00%  [kernel.kallsyms]         [k] perf_output_begin
               +0.00%  [kernel.kallsyms]         [k] sock_alloc
               +0.00%  [kernel.kallsyms]         [k] __rb_erase_color
     0.01%     +0.00%  [kernel.kallsyms]         [k] _find_first_bit_le
     0.01%     +0.00%  [kernel.kallsyms]         [k] elv_rqhash_add
     0.00%     +0.00%  [kernel.kallsyms]         [k] put_cmsg
               +0.00%  [kernel.kallsyms]         [k] ip_mc_sf_allow
     0.01%     -0.00%  [kernel.kallsyms]         [k] do_rmdir
               +0.00%  [kernel.kallsyms]         [k] vma_gap_callbacks_rotate
     0.00%     +0.00%  [kernel.kallsyms]         [k] gen_pool_free_owner
               +0.00%  [kernel.kallsyms]         [k] generic_file_open
               +0.00%  [kernel.kallsyms]         [k] setup_arg_pages
               +0.00%  [kernel.kallsyms]         [k] timerfd_poll
               +0.00%  [kernel.kallsyms]         [k] skb_network_protocol
               +0.00%  [kernel.kallsyms]         [k] move_page_tables.part.0
     0.01%     +0.00%  [kernel.kallsyms]         [k] mntget
     0.00%     -0.00%  [kernel.kallsyms]         [k] rcu_gp_kthread_wake
               +0.00%  [kernel.kallsyms]         [k] find_lock_entries
               +0.00%  [kernel.kallsyms]         [k] filemap_check_errors
               +0.00%  [kernel.kallsyms]         [k] insert_vmap_area.constprop.0
     0.00%     -0.00%  [kernel.kallsyms]         [k] clk_round_rate
     0.01%     -0.00%  [kernel.kallsyms]         [k] blk_mq_flush_plug_list
     0.00%     +0.00%  [kernel.kallsyms]         [k] __cpufreq_driver_target
     0.00%     -0.00%  [kernel.kallsyms]         [k] __netif_receive_skb_core
     0.02%     -0.00%  [kernel.kallsyms]         [k] rb_next
               +0.00%  [kernel.kallsyms]         [k] poll_schedule_timeout.constprop.0
               +0.00%  systemd-udevd             [.] 0x0001e020
               +0.00%  [kernel.kallsyms]         [k] ksize
               +0.00%  [kernel.kallsyms]         [k] vfp_preserve_user_clear_hwstate
     0.00%     +0.00%  [kernel.kallsyms]         [k] __rb_insert_augmented
     0.00%     +0.00%  [kernel.kallsyms]         [k] select_estimate_accuracy
               +0.00%  [kernel.kallsyms]         [k] wake_up_var
               +0.00%  [kernel.kallsyms]         [k] generic_file_llseek_size
     0.00%     -0.00%  [kernel.kallsyms]         [k] dd_limit_depth
               +0.00%  [kernel.kallsyms]         [k] clk_propagate_rate_change
