# Event 'cycles'
#
# Baseline  Delta Abs  Shared Object             Symbol                                         
# ........  .........  ........................  ...............................................
#
     0.02%     +0.01%  [kernel.kallsyms]         [k] dma_direct_map_sg
     0.03%     +0.01%  [kernel.kallsyms]         [k] __d_lookup
     0.03%     -0.01%  [kernel.kallsyms]         [k] ext4_evict_inode
     0.01%     +0.01%  [kernel.kallsyms]         [k] jbd2_journal_commit_transaction
     0.09%     -0.01%  [kernel.kallsyms]         [k] ext4_da_write_end
     0.09%     +0.01%  [kernel.kallsyms]         [k] process_one_work
     0.04%     -0.01%  [kernel.kallsyms]         [k] do_dentry_open
     0.04%     +0.01%  [kernel.kallsyms]         [k] ktime_get_coarse_real_ts64
     0.00%     +0.01%  [kernel.kallsyms]         [k] ext4_xattr_delete_inode
     0.06%     +0.01%  [kernel.kallsyms]         [k] __ext4_journal_start_sb
     0.03%     +0.01%  [kernel.kallsyms]         [k] dma_cache_maint_page
     0.00%     +0.01%  [kernel.kallsyms]         [k] idle_cpu
     0.01%     +0.01%  [kernel.kallsyms]         [k] rb_insert_color
     0.01%     +0.01%  [kernel.kallsyms]         [k] add_dirent_to_buf
     0.01%     -0.01%  [kernel.kallsyms]         [k] _raw_spin_lock_irq
     0.03%     -0.01%  [kernel.kallsyms]         [k] blk_mq_dispatch_rq_list
     0.09%     -0.01%  [kernel.kallsyms]         [k] jbd2_journal_get_write_access
     0.03%     -0.01%  [kernel.kallsyms]         [k] fault_in_iov_iter_readable
     0.03%     -0.01%  [kernel.kallsyms]         [k] __es_tree_search
     0.02%     -0.01%  [kernel.kallsyms]         [k] rw_verify_area
     0.10%     +0.01%  [kernel.kallsyms]         [k] ext4_sb_block_valid
     0.00%     +0.01%  [kernel.kallsyms]         [k] blk_mq_sched_try_insert_merge
     0.01%     -0.01%  [kernel.kallsyms]         [k] iget_locked
     0.01%     +0.01%  [kernel.kallsyms]         [k] iput
     0.10%     +0.01%  [kernel.kallsyms]         [k] __mark_inode_dirty
     0.01%     +0.01%  [kernel.kallsyms]         [k] schedule_idle
     0.02%     +0.01%  [kernel.kallsyms]         [k] ext4_free_inode
     0.03%     +0.01%  [kernel.kallsyms]         [k] bcm2835_read_wait_sdcmd.constprop.0
     0.03%     -0.01%  [kernel.kallsyms]         [k] __aeabi_idivmod
     0.01%     +0.01%  [kernel.kallsyms]         [k] dd_has_work
     0.07%     -0.01%  [kernel.kallsyms]         [k] prep_new_page
     0.15%     -0.01%  [kernel.kallsyms]         [k] vector_swi
     0.02%     -0.01%  [kernel.kallsyms]         [k] fsnotify_destroy_marks
     0.03%     -0.01%  [kernel.kallsyms]         [k] filemap_get_pages
     0.08%     -0.01%  [kernel.kallsyms]         [k] _test_and_set_bit
     0.00%     +0.01%  [kernel.kallsyms]         [k] lockref_get
     0.01%     +0.01%  [kernel.kallsyms]         [k] __blk_mq_alloc_requests
     0.01%     +0.01%  [kernel.kallsyms]         [k] schedule_hrtimeout_range_clock
     0.05%     -0.01%  [kernel.kallsyms]         [k] memcpy
     0.01%     +0.01%  [kernel.kallsyms]         [k] vchan_complete
     0.01%     +0.01%  [kernel.kallsyms]         [k] find_revoke_record
     0.01%     +0.01%  [kernel.kallsyms]         [k] try_to_unlazy
